,gucci,patek,versace,balenciaga,saint laurent
2017-09-27,67.75,66.0,50.208333333333336,55.875,55.416666666666664
2017-09-28,68.04166666666667,70.75,49.375,56.708333333333336,54.166666666666664
2017-09-29,69.08333333333333,74.95833333333333,51.791666666666664,62.25,60.708333333333336
2017-09-30,77.79166666666667,81.08333333333333,53.166666666666664,70.16666666666667,59.166666666666664
2017-10-01,85.65454545454546,75.2,81.25454545454545,68.12727272727273,43.56363636363636
2017-10-02,66.45833333333333,68.75,70.54166666666667,68.75,34.875
2017-10-03,65.75,69.5,69.375,64.875,35.291666666666664
2017-10-04,64.79166666666667,67.33333333333333,70.08333333333333,57.833333333333336,33.5
2017-10-05,65.20833333333333,67.625,70.5,54.416666666666664,33.083333333333336
2017-10-06,66.375,70.75,72.08333333333333,55.208333333333336,33.791666666666664
2017-10-07,75.83333333333333,77.83333333333333,81.54166666666667,66.91666666666667,36.666666666666664
2017-10-08,83.32727272727273,80.65454545454546,56.527272727272724,70.6,41.018181818181816
2017-10-09,63.583333333333336,70.29166666666667,34.5,64.83333333333333,41.583333333333336
2017-10-10,61.208333333333336,70.20833333333333,36.958333333333336,62.166666666666664,41.208333333333336
2017-10-11,64.20833333333333,68.33333333333333,39.458333333333336,60.833333333333336,39.375
2017-10-12,66.33333333333333,72.33333333333333,36.75,61.541666666666664,39.791666666666664
2017-10-13,73.41666666666667,81.25,35.708333333333336,61.416666666666664,40.083333333333336
2017-10-14,76.375,83.54166666666667,39.041666666666664,68.375,47.166666666666664
2017-10-15,41.29090909090909,56.29090909090909,59.345454545454544,73.54545454545455,42.14545454545455
2017-10-16,14.208333333333334,37.458333333333336,57.583333333333336,65.79166666666667,45.791666666666664
2017-10-17,18.25,37.166666666666664,56.666666666666664,62.208333333333336,42.916666666666664
2017-10-18,30.083333333333332,40.25,58.541666666666664,60.333333333333336,41.041666666666664
2017-10-19,20.083333333333332,39.291666666666664,59.041666666666664,63.041666666666664,42.416666666666664
2017-10-20,17.625,68.95833333333333,58.75,65.25,42.875
2017-10-21,18.375,73.41666666666667,65.91666666666667,71.79166666666667,44.875
